Date,Close,High,Low,Open,Volume,Symbol,Adj Close
,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,,
2025-03-11,729.8499755859375,734.0499877929688,722.7000122070312,724.9000244140625,5538789,SBIN.NS,729.8499755859375
2025-03-12,723.0499877929688,737.0,719.0499877929688,730.5999755859375,5547762,SBIN.NS,723.0499877929688
2025-03-13,727.8499755859375,731.4500122070312,724.5,725.9000244140625,5908337,SBIN.NS,727.8499755859375
2025-03-17,723.1500244140625,731.25,722.2999877929688,728.9000244140625,5149563,SBIN.NS,723.1500244140625
2025-03-18,723.1500244140625,723.1500244140625,723.1500244140625,723.1500244140625,0,SBIN.NS,723.1500244140625
2025-03-19,745.0999755859375,749.2999877929688,739.0999755859375,739.5999755859375,7604850,SBIN.NS,745.0999755859375
2025-03-20,749.5499877929688,752.7000122070312,744.2000122070312,748.0,6963197,SBIN.NS,749.5499877929688
2025-03-21,753.2000122070312,755.5999755859375,747.0,749.9500122070312,9577327,SBIN.NS,753.2000122070312
2025-03-24,780.7999877929688,782.9500122070312,755.0999755859375,758.0,12095064,SBIN.NS,780.7999877929688
2025-03-25,772.8499755859375,786.0,769.2000122070312,783.9000244140625,15190143,SBIN.NS,772.8499755859375
2025-03-26,764.0,776.0499877929688,761.4500122070312,772.0,7711852,SBIN.NS,764.0
2025-03-27,772.2999877929688,775.7999877929688,760.5,763.7999877929688,15648616,SBIN.NS,772.2999877929688
2025-03-28,771.5,778.5999755859375,767.0,772.0999755859375,7628185,SBIN.NS,771.5
2025-04-01,771.7000122070312,782.75,763.2000122070312,766.7999877929688,7011125,SBIN.NS,771.7000122070312
2025-04-02,775.9500122070312,777.0,764.2999877929688,772.2999877929688,5458436,SBIN.NS,775.9500122070312
2025-04-03,779.2000122070312,784.7000122070312,769.9500122070312,770.0,7956680,SBIN.NS,779.2000122070312
2025-04-04,767.4500122070312,782.9000244140625,765.0,779.0999755859375,8231194,SBIN.NS,767.4500122070312
2025-04-07,746.9000244140625,753.7000122070312,730.0,730.0,14923235,SBIN.NS,746.9000244140625
2025-04-08,768.5999755859375,774.0,758.1500244140625,760.0,12911288,SBIN.NS,768.5999755859375
2025-04-09,742.2000122070312,767.9500122070312,741.0,767.0,11319387,SBIN.NS,742.2000122070312
