Date,Close,High,Low,Open,Volume,Symbol,Adj Close
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,
2025-03-11,3575.300048828125,3588.75,3537.64990234375,3558.0,1995450,TCS.NS,3575.300048828125
2025-03-12,3506.199951171875,3569.25,3486.85009765625,3565.0,3174167,TCS.NS,3506.199951171875
2025-03-13,3511.050048828125,3524.300048828125,3484.10009765625,3502.300048828125,1693004,TCS.NS,3511.050048828125
2025-03-17,3497.699951171875,3530.449951171875,3477.35009765625,3489.0,2690906,TCS.NS,3497.699951171875
2025-03-18,3497.699951171875,3497.699951171875,3497.699951171875,3497.699951171875,0,TCS.NS,3497.699951171875
2025-03-19,3497.10009765625,3547.0,3462.75,3547.0,3051244,TCS.NS,3497.10009765625
2025-03-20,3563.14990234375,3578.949951171875,3512.0,3512.0,2845192,TCS.NS,3563.14990234375
2025-03-21,3578.10009765625,3616.25,3465.0,3475.0,4161925,TCS.NS,3578.10009765625
2025-03-24,3628.949951171875,3649.75,3566.60009765625,3600.0,1834751,TCS.NS,3628.949951171875
2025-03-25,3657.75,3710.0,3638.0,3645.0,3135390,TCS.NS,3657.75
2025-03-26,3635.800048828125,3680.5,3625.85009765625,3647.75,1734499,TCS.NS,3635.800048828125
2025-03-27,3651.199951171875,3663.0,3610.5,3614.85009765625,2528474,TCS.NS,3651.199951171875
2025-03-28,3606.14990234375,3660.949951171875,3591.89990234375,3651.0,2051919,TCS.NS,3606.14990234375
2025-04-01,3550.800048828125,3584.0,3525.0,3572.699951171875,2618493,TCS.NS,3550.800048828125
2025-04-02,3543.949951171875,3564.10009765625,3530.050048828125,3544.0,1764313,TCS.NS,3543.949951171875
2025-04-03,3403.14990234375,3502.0,3396.14990234375,3491.0,4537821,TCS.NS,3403.14990234375
2025-04-04,3299.39990234375,3399.64990234375,3295.5,3362.60009765625,5317367,TCS.NS,3299.39990234375
2025-04-07,3274.050048828125,3291.39990234375,3056.050048828125,3100.0,6623955,TCS.NS,3274.050048828125
2025-04-08,3292.949951171875,3349.0,3255.300048828125,3302.050048828125,5557558,TCS.NS,3292.949951171875
2025-04-09,3246.60009765625,3270.0,3212.050048828125,3260.550048828125,2990265,TCS.NS,3246.60009765625
